month,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,N/A,-0.79%,-1.62%,2.12%,-3.49%,3.11%,1.80%,-7.90%,-6.12%,-4.53%,2.44%,5.93%,4.31%,-2.81%,-2.49%,-5.88%,3.07%,6.62%,8.42%,1.37%,-0.09%,-7.23%,8.24%
2,N/A,-4.81%,-0.16%,0.64%,1.42%,-0.27%,-1.69%,-3.11%,-9.06%,3.74%,3.44%,4.95%,1.02%,4.66%,6.10%,-0.49%,3.97%,-2.44%,3.20%,-7.10%,1.51%,-3.38%,-1.35%
3,N/A,4.23%,0.45%,-1.56%,-2.07%,1.61%,0.74%,-0.18%,8.92%,6.23%,-0.23%,3.47%,3.17%,-0.87%,-2.05%,6.31%,0.53%,-3.24%,2.28%,-8.08%,2.89%,4.12%,5.88%
4,N/A,-7.21%,8.39%,-2.24%,-2.59%,0.79%,4.53%,5.72%,11.00%,2.04%,2.88%,-0.75%,2.11%,0.25%,1.26%,-0.87%,1.71%,0.65%,4.57%,13.68%,5.45%,-11.54%,1.01%
5,N/A,-1.77%,6.35%,2.60%,4.87%,-4.25%,3.42%,3.01%,5.03%,-7.62%,-1.09%,-6.57%,2.81%,3.01%,1.69%,2.74%,2.31%,3.84%,-7.34%,5.80%,-0.19%,-0.22%,4.05%
6,2.89%,-9.07%,0.96%,2.08%,-0.89%,-0.08%,-1.28%,-9.23%,0.77%,-5.97%,-2.11%,3.60%,-2.08%,2.21%,-2.44%,-0.92%,-0.83%,0.55%,6.75%,3.97%,3.97%,-8.80%,6.07%
7,-3.50%,-7.72%,3.25%,-4.60%,4.94%,-0.94%,-2.36%,-0.16%,7.74%,6.96%,-0.75%,1.11%,5.61%,-0.57%,2.99%,4.97%,2.79%,3.22%,1.86%,6.48%,2.50%,10.49%,3.64%
8,-7.89%,0.71%,3.02%,-0.49%,-1.11%,2.89%,1.98%,1.64%,3.06%,-4.75%,-4.72%,3.50%,-2.08%,4.33%,-6.26%,0.52%,1.03%,4.29%,-1.65%,8.65%,3.54%,-4.38%,-1.54%
9,-12.55%,-11.29%,-1.75%,1.59%,0.62%,2.73%,3.91%,-11.41%,4.05%,9.67%,-6.58%,1.53%,3.51%,-1.70%,-2.74%,0.60%,0.83%,-0.21%,1.15%,-4.67%,-5.40%,-10.38%,-5.23%
10,5.77%,10.57%,6.36%,2.53%,-2.04%,3.67%,3.18%,-15.03%,-2.36%,4.68%,10.67%,-3.06%,4.61%,2.70%,9.11%,-1.75%,3.19%,-7.76%,3.15%,-2.45%,7.17%,6.36%,-2.14%
11,10.07%,7.83%,1.13%,4.79%,4.85%,2.50%,-4.78%,-7.37%,6.00%,0.19%,-0.84%,0.99%,3.09%,3.29%,0.58%,2.65%,2.59%,1.19%,3.81%,10.83%,0.52%,5.73%,9.66%
12,0.04%,-7.62%,3.79%,2.47%,-0.99%,0.01%,-0.96%,1.89%,2.81%,5.55%,0.06%,-0.07%,2.29%,-1.32%,-2.12%,1.20%,0.58%,-9.30%,2.90%,4.17%,2.58%,-7.75%,4.83%
